id,name,programId,levelId,openings,futureOpenings,dayNumber,startTime,endTime,dayName,location,location.short,level,helper,helper2
917,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Joey Y.,68,9,4,0,7,8:00 AM,8:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|8:00 AM,Sat|Laguna|Zuma Paddler|8:00 AM
3216,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ameer B.,68,9,3,0,1,11:30 AM,12:00PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sun|Laguna - 20m Outdoor Pool|Zuma Paddler|11:30 AM,Sun|Laguna|Zuma Paddler|11:30 AM
823,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ivan T.,68,9,3,0,1,2:30 PM,3:00PM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sun|Laguna - 20m Outdoor Pool|Zuma Paddler|2:30 PM,Sun|Laguna|Zuma Paddler|2:30 PM
3117,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ivan T.,68,9,2,0,1,8:00 AM,8:30AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sun|Laguna - 20m Outdoor Pool|Zuma Paddler|8:00 AM,Sun|Laguna|Zuma Paddler|8:00 AM
3207,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ryan L.,68,9,2,0,4,4:00 PM,4:30PM,Wed,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Wed|Laguna - 20m Outdoor Pool|Zuma Paddler|4:00 PM,Wed|Laguna|Zuma Paddler|4:00 PM
2435,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Ernest K.,17,9,2,0,5,5:30 PM,6:00PM,Thu,Hub - Sheltered Pool,Hub,Zuma Paddler,Thu|Hub - Sheltered Pool|Zuma Paddler|5:30 PM,Thu|Hub|Zuma Paddler|5:30 PM
571,Swish! Aqua Studio - Outdoor Pool: Zuma Paddler with Coach Ian W.,61,9,2,0,7,12:00 PM,12:30PM,Sat,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Paddler,Sat|Aqua Studio - Outdoor Pool|Zuma Paddler|12:00 PM,Sat|Aqua Studio|Zuma Paddler|12:00 PM
3171,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Joey Y.,68,9,2,0,7,10:00 AM,10:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|10:00 AM,Sat|Laguna|Zuma Paddler|10:00 AM
2993,Swish! Aqua Studio - Outdoor Pool: Zuma Paddler with Coach Nusaibah Sajiah B.,61,9,1,0,1,11:30 AM,12:00PM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Paddler,Sun|Aqua Studio - Outdoor Pool|Zuma Paddler|11:30 AM,Sun|Aqua Studio|Zuma Paddler|11:30 AM
909,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Imam R.,68,9,1,0,1,9:00 AM,9:30AM,Sun,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sun|Laguna - 20m Outdoor Pool|Zuma Paddler|9:00 AM,Sun|Laguna|Zuma Paddler|9:00 AM
789,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Joey Y.,68,9,1,0,7,11:30 AM,12:00PM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|11:30 AM,Sat|Laguna|Zuma Paddler|11:30 AM
554,Swish! Aqua Studio - Outdoor Pool: Zuma Paddler with Coach Amelia F.,61,9,0,0,1,3:30 PM,4:00PM,Sun,Aqua Studio - Outdoor Pool,Aqua Studio,Zuma Paddler,Sun|Aqua Studio - Outdoor Pool|Zuma Paddler|3:30 PM,Sun|Aqua Studio|Zuma Paddler|3:30 PM
731,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Cal C.,17,9,0,0,1,11:30 AM,12:00PM,Sun,Hub - Sheltered Pool,Hub,Zuma Paddler,Sun|Hub - Sheltered Pool|Zuma Paddler|11:30 AM,Sun|Hub|Zuma Paddler|11:30 AM
726,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Shannon T.,17,9,0,0,1,4:00 PM,4:30PM,Sun,Hub - Sheltered Pool,Hub,Zuma Paddler,Sun|Hub - Sheltered Pool|Zuma Paddler|4:00 PM,Sun|Hub|Zuma Paddler|4:00 PM
2784,Swish! Hub - Sheltered Pool: Zuma Paddler with Coach Cal C.,17,9,0,0,2,5:00 PM,5:30PM,Mon,Hub - Sheltered Pool,Hub,Zuma Paddler,Mon|Hub - Sheltered Pool|Zuma Paddler|5:00 PM,Mon|Hub|Zuma Paddler|5:00 PM
2546,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Ivan T.,68,9,0,0,7,10:00 AM,10:30AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|10:00 AM,Sat|Laguna|Zuma Paddler|10:00 AM
822,Swish! Laguna - 20m Outdoor Pool: Zuma Paddler with Coach Amelia F.,68,9,0,0,7,10:30 AM,11:00AM,Sat,Laguna - 20m Outdoor Pool,Laguna,Zuma Paddler,Sat|Laguna - 20m Outdoor Pool|Zuma Paddler|10:30 AM,Sat|Laguna|Zuma Paddler|10:30 AM
